Comment,Designator,Footprint,LCSC
10K,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
CNTRL_OUT,J3,CONN_1862055,
MOTOR,J5,CONN_1862042,
2.2K,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100uF,C2,C_Elec_8x10.2,
8.45K,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
CNTRL_IN,J2,CONN_1862055,
POWER,J1,CONN_1862055,
MountingHole,H2,MountingHole_3.2mm_M3_Pad_Via,
DRV8234RTER,IC1,QFN50P300X300X80-17N-D,
MountingHole,H3,MountingHole_3.2mm_M3_Pad_Via,
2.2K,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
2.2K,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
2.2K,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10K,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100nF,C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
100nF,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
I2C,J4,1862068,
MountingHole,H1,MountingHole_3.2mm_M3_Pad_Via,
MountingHole,H4,MountingHole_3.2mm_M3_Pad_Via,
