Designator,Mid X,Mid Y,Rotation,Layer
C1,124.968,-95.758,90.0,top
C2,117.8052,-96.818,90.0,top
C3,134.89,-99.314,270.0,top
IC1,130.052,-98.528,270.0,top
J1,102.036999,-79.709,180.0,top
J2,115.697,-79.709,180.0,top
J3,129.286,-79.709,180.0,top
J4,153.244,-84.6944,180.0,top
J5,160.782,-92.003998,90.0,top
R1,129.286,-90.932,270.0,top
R2,135.89,-90.932,270.0,top
R3,132.588,-90.932,270.0,top
R4,140.208,-90.916,270.0,top
R5,143.51,-90.916,270.0,top
R6,150.114,-90.916,270.0,top
R7,146.812,-90.916,270.0,top
